contig_id,0,1,2,3,4,5,6,7,8,9,10
contig_106.concoct_part_2,-8.72995582e-01,-1.86151062e+00,-3.20205035e-01,2.88549984e-01,-9.27585767e-02,-2.03596602e-01,3.25488564e-01,3.70354299e-01,-1.02977554e+00,5.35819216e-01,-1.75555427e-01
contig_106.concoct_part_3,-3.58594278e+00,-7.38940067e-01,1.91251256e-01,-2.01545429e-01,8.36589708e-01,4.03877980e-01,1.17488745e-01,-6.20135932e-02,-7.37183204e-02,5.86536290e-01,8.72017280e-03
contig_106.concoct_part_4,-1.50453010e+00,-1.60833964e+00,-5.50582902e-01,5.71522268e-01,-3.56384573e-01,-5.09442069e-01,-5.18788345e-01,-4.04982545e-02,1.88462811e-02,-5.25872244e-01,1.20800428e-01
contig_106.concoct_part_5,-2.84424296e+00,-8.67133773e-01,4.98381435e-01,4.37232456e-01,5.94478994e-01,-9.25225056e-02,5.87086310e-01,3.71976036e-01,-1.28857516e-01,1.72919945e-01,9.20856291e-02
contig_106.concoct_part_6,7.49186549e-01,-1.55871726e+00,-9.16471378e-02,7.02727775e-01,-1.48448006e-01,-8.96941847e-01,3.81704554e-01,8.00890662e-01,-1.98373724e-01,-8.55624413e-02,-1.29380763e-01
contig_106.concoct_part_7,-2.20523918e+00,-1.79210473e+00,-6.59314623e-02,5.36425734e-01,5.08593294e-01,-5.19613101e-01,-1.11762053e-02,5.39299136e-02,-4.88328872e-01,-3.54208814e-01,-2.25574839e-01
contig_108.concoct_part_0,-1.60875285e+00,-1.27918059e+00,-2.45658073e-01,-2.16991261e-03,1.89495856e-01,-2.51876133e-01,-2.87694249e-01,4.57585948e-01,2.14189200e-01,-2.69498003e-01,2.26354915e-01
contig_108.concoct_part_1,-8.87571816e-01,-1.33705269e+00,-3.49140078e-01,-1.07346473e-01,1.12660932e-01,6.79754910e-03,4.04990201e-01,2.06581889e-01,-2.47298247e-01,9.45177945e-02,9.83275147e-04
contig_110.concoct_part_0,-3.62895372e+00,-8.96918549e-01,3.05902053e-01,3.45225879e-01,4.07351409e-01,-1.96699213e-01,5.34274250e-03,-2.29946644e-01,1.40216243e-01,2.50588938e-01,-4.66966317e-02
contig_110.concoct_part_1,-2.17303708e+00,-1.38095545e+00,-6.56436412e-02,-8.88366356e-02,3.66131043e-01,4.63935649e-01,-6.83098590e-02,7.28517988e-02,1.77842416e-01,-4.83498640e-02,-4.28334001e-01
