contig_10691	CONCOCT.64
contig_10692	CONCOCT.44
contig_10693	CONCOCT.62
contig_10694	CONCOCT.82
contig_10697	CONCOCT.17
contig_10698	CONCOCT.41
contig_10699	CONCOCT.71
contig_1070	CONCOCT.30
contig_10703	CONCOCT.18
contig_10704	CONCOCT.38
contig_10705	CONCOCT.18
contig_10706	CONCOCT.18
contig_10707	CONCOCT.57
contig_10708	CONCOCT.9
contig_10709	CONCOCT.18
contig_1071	CONCOCT.41
contig_10710	CONCOCT.37
contig_10711	CONCOCT.37
contig_10712	CONCOCT.58
contig_10714	CONCOCT.42
contig_10715	CONCOCT.64
contig_10717	CONCOCT.58
contig_10718	CONCOCT.49
contig_10719	CONCOCT.77
contig_1072	CONCOCT.41
contig_10720	CONCOCT.11
contig_10721	CONCOCT.44
contig_10722	CONCOCT.47
contig_10724	CONCOCT.34
contig_10726	CONCOCT.64
contig_10727	CONCOCT.8
contig_1073	CONCOCT.79
contig_10734	CONCOCT.30
contig_10735	CONCOCT.3
contig_10736	CONCOCT.49
contig_10739	CONCOCT.64
contig_10740	CONCOCT.58
contig_10741	CONCOCT.49
contig_10742	CONCOCT.58
contig_10743	CONCOCT.76
contig_10745	CONCOCT.82
contig_10746	CONCOCT.49
contig_10747	CONCOCT.4
contig_10748	CONCOCT.58
contig_10749	CONCOCT.20
contig_1075	CONCOCT.48
contig_10751	CONCOCT.77
contig_10752	CONCOCT.64
contig_10753	CONCOCT.21
contig_10755	CONCOCT.41
contig_10756	CONCOCT.52
contig_10757	CONCOCT.65
contig_10758	CONCOCT.58
contig_10759	CONCOCT.41
contig_1076	CONCOCT.18
contig_10760	CONCOCT.11
contig_10761	CONCOCT.82
contig_10762	CONCOCT.47
contig_10763	CONCOCT.62
contig_10764	CONCOCT.41
contig_10765	CONCOCT.50
contig_10766	CONCOCT.10
contig_10767	CONCOCT.58
contig_10768	CONCOCT.51
contig_1077	CONCOCT.41
contig_10770	CONCOCT.64
contig_10772	CONCOCT.58
contig_10773	CONCOCT.47
contig_10774	CONCOCT.76
contig_10775	CONCOCT.48
contig_10776	CONCOCT.24
contig_10777	CONCOCT.30
contig_10778	CONCOCT.30
contig_10779	CONCOCT.37
contig_1078	CONCOCT.21
contig_10781	CONCOCT.23
contig_10782	CONCOCT.18
contig_10783	CONCOCT.42
contig_10784	CONCOCT.25
contig_10785	CONCOCT.34
contig_10786	CONCOCT.43
contig_10787	CONCOCT.9
contig_10788	CONCOCT.28
contig_1079	CONCOCT.76
contig_10790	CONCOCT.62
contig_10791	CONCOCT.50
contig_10792	CONCOCT.50
contig_10794	CONCOCT.42
contig_10797	CONCOCT.7
contig_10798	CONCOCT.76
contig_1080	CONCOCT.76
contig_10801	CONCOCT.29
contig_10802	CONCOCT.3
contig_10803	CONCOCT.37
contig_10804	CONCOCT.41
contig_10805	CONCOCT.30
